id	question	key_words
1	What is your biggest fear?	biggest/fear
2	What is the most embarrassing thing you’ve ever done?	embarrassing/thing/done
3	What’s a secret you’ve never told anyone?	’s/secret/told
4	What is your biggest fantasy? 	biggest/fantasy
5	When was the last time you cried? 	last/time/cried
6	What is the biggest lie you’ve ever told? 	biggest/lie/told
7	What is the most embarrassing photo of you? 	embarrassing/photo
8	What would you do if you were the opposite gender for a week? 	do/opposite/gender/week
9	What do most people assume about you that isn’t true?	most/people/assume/true
10	What are your thoughts on reincarnation?	thoughts/reincarnation
11	What is the stupidest thing you ever did as a teenager?  	stupidest/thing/did/teenager
12	Have you ever broken the law? 	broken/law
13	What’s your biggest regret? 	’s/biggest/regret
14	Who do you have a crush on?	have/crush
15	What was the most awkward date you ever went on?	awkward/date/went
16	What is one item you hope nobody ever finds in your room?	item/hope/finds/room
17	Have you ever stolen something?	stolen
18	Have you ever cheated on an exam?	cheated/exam
19	Tell the story of the drunkest you’ve ever been.	Tell/story/drunkest
20	How old were you when you first tried alcohol?	old/tried/alcohol
21	What is the silliest thing you feel emotionally attached to?	silliest/thing/feel/attached
22	What is the biggest mistake you’ve ever made?	biggest/mistake/made
23	Have you ever played hooky at work?	played/hooky/work
24	Have you ever lied to get out of an awkward date?	lied/get/awkward/date
25	Who is the best-looking person here?	looking/person
26	Who is the funniest person here?	funniest/person
27	What is the scariest nightmare you’ve ever had?	scariest/nightmare/had
28	When was the most inappropriate time you farted in public?	inappropriate/time/farted/public
29	What is the worst joke you’ve played on someone?	worst/joke/played
30	What is the worst prank that someone played on you?	worst/prank/played
31	If you starred in a romance movie, what would it be like?	starred/romance/movie
32	What is the most embarrassing thing you’ve posted on 	embarrassing/thing/posted
33	What is your favorite thing that your significant other does for you?	favorite/thing/significant/other/does
34	Tell us something you don’t want us to know.	Tell/want/know
35	What do you hope your parents never find out about?	hope/parents/find
36	What is the strangest dream you’ve ever had?	strangest/dream/had
37	Who was the last person you searched on Instagram?	last/person/searched
38	How old were you when you had your first kiss?	old/had/first/kiss
39	Who was your first kiss?	first/kiss
40	Why did you break up with your last boyfriend?	break/last/boyfriend
41	Have you ever shared a secret you weren’t supposed to tell?	shared/secret/supposed/tell
42	What is the weirdest thing you’ve ever done in front of a 	weirdest/thing/done/front
43	What was the last thing you searched for on your phone? 	last/thing/searched/phone
44	How often do you check yourself out in the reflection of a window?	check/reflection/window
45	What is the longest you’ve gone without a shower?	longest/gone/shower
46	How long have you gone without brushing your teeth? 	gone/brushing/teeth
47	What celebrity would you 	celebrity
48	Have you ever farted and blamed someone else?	farted/blamed
49	Do you ever drool in your sleep?	drool/sleep
50	Do you snore?	snore
51	What is your worst 	worst
52	Have you ever peed in a pool?	peed/pool
53	Have you accidentally wet your pants as an adult? 	wet/pants/adult
54	Did your parents ever give you the “birds and bees” talk? 	parents/give/birds/bees/talk
55	Do you ever pick your nose?	pick/nose
56	Would you rather have to walk around naked for a day or have your thoughts displayed as thought bubbles for everyone to read?	have/walk/naked/day/have/thoughts/displayed/thought/bubbles/read
57	Do you talk in your sleep?	talk/sleep
58	What color underwear are you wearing right now?	color/underwear/wearing
59	Would you trade in your dog for a million dollars?	trade/dog/dollars
60	Have you ever been caught checking someone out? How did they react?	caught/checking/react
61	What’s the longest you’ve ever spent in the bathroom?	’s/longest/spent/bathroom
62	How many selfies do you take per day?	many/selfies/take/day
63	Do you eat food off the floor?	eat/food/floor
64	Are you afraid of the dark?	afraid/dark
65	If you could reincarnate in someone else’s body, who would you want to become?	reincarnate/body/want/become
66	What is the most useless piece of knowledge you know?	useless/piece/knowledge/know
67	If you run out of toilet paper, would you wipe with the empty roll?	run/toilet/paper/wipe/empty/roll
68	If you could only say one swear word for the rest of your life, which one would you choose?	say/swear/word/rest/life/choose
69	What animal most closely resembles your style of eating?	animal/resembles/style/eating
70	If you could play a prank on anyone without getting caught, what would it be?	play/prank/caught
71	Yell out the first word that comes to your mind. 	Yell/first/word/comes/mind
72	Hold your nose while you sing the chorus of your favorite song.	Hold/nose/sing/chorus/favorite/song
73	Call your dad and say you got engaged. 	Call/dad/say/engaged
74	Dance for 30 seconds to a Snoop Dogg song.	Dance/seconds/Snoop/song
75	Eat a whole raw clove of garlic.	Eat/whole/raw/clove/garlic
