id	question	key_words
1	Dans ce groupe, qui amènerais-tu avec toi sur une île déserte ?	groupe/amènerais/-/tu/toi/déserte
2	Raconte la plus grande honte que tu as vécue ?	Raconte/grande/honte/tu/as
3	Quel est le rêve le plus étrange que tu aies fait ?	Quel/rêve/étrange/aies/fait
4	Quel est ton plus grand secret ?	Quel/ton/grand/secret
5	Si aujourd’hui était le dernier jour de ta vie, que ferais-tu ?	dernier/jour/ta/vie/ferais/-/tu
6	De 0 à 10. Quelle note donnerais-tu (choisir quelqu'un du groupe) en beauté, sympathie ou intelligence ?	Quelle/note/donnerais/-/tu/choisir/groupe/beauté/sympathie/intelligence
7	De 0 à 10. Quelle note te donnerais-tu à toi-même en beauté, sympathie ou intelligence ?	Quelle/note/te/donnerais/-/tu/toi/-/beauté/sympathie/intelligence
8	Quel est le pire cadeau que tu aies jamais reçu ?	Quel/pire/cadeau/aies/reçu
9	Quel est le meilleur cadeau qu'on t'ait jamais fait ?	Quel/meilleur/cadeau/t'/fait
10	Si c'était la fin du monde et que tu ne pouvais sauver qu'une seule personne, qui serait-elle ?	fin/monde/pouvais/sauver/seule/personne/serait
11	As-tu déjà nagé nu dans l'eau ?	As/-/tu/nagé/eau
12	Est-ce que quelqu'un t'a déjà trahi ?	t'/trahi
13	Qu'est-ce qui manquera jamais dans ton frigo ?	manquera/ton/frigo
14	Est-ce que tu pourrais coucher avec quelqu'un pour beaucoup d'argent ?	pourrais/coucher/argent
15	As-tu déjà envoyé une photo coquine par portable ?	As/-/envoyé/photo/coquine/portable
16	As-tu déjà embrassé plusieurs personnes le même jour ? Si oui, combien ?	As/-/embrassé/personnes/même/jour/oui
17	De quoi es-tu le/la plus fier.e ?	es/-/tu
18	Te crois-tu attirant.e ?	Te/crois/-/tu/attirant.e
19	Si tu pouvais ramener une personne décédée à la vie, qui serait-elle ?	tu/pouvais/ramener/personne/décédée/vie/serait
20	Si tu pouvais voyager dans le temps, à quelle époque irais-tu ?	tu/pouvais/voyager/temps/époque/irais/-/tu
21	As-tu menti en jouant à ce jeu ?	As/-/tu/menti/jouant/jeu
22	Quelle est ta technique de séduction ?	Quelle/technique/séduction
